"sitename","siteid","datasetid","altitude","longitude","latitude","sitedescription","depositionalenvironment"
"15/1",1,1,244,-75.25,55.09167,"Lake.","Glacial Origin Lake"
"Site 1 (Cohen unpublished)",10,10,37,-82.33,30.83,NA,"Unknown"
"Site 30 (Swain unpublished)",100,100,381,-91.35,46.35,NA,"Unknown"
"Hafichuk Site",969,1000,740,-105.88389,50.32056,"Ephemeral prairie pothole pond. Physiography: disintegration moraine.","Playa"
"Hail Lake",970,1001,690,-129.01667,60.03333,"Small lake. Surrounding vegetation: Picea mariana, P. glauca, Pinus contorta.","Glacial Origin Lake"
"Hams Lake",971,1002,301,-80.41333,43.23667,"Kettle lake. Physiography: glacial moraine. Surrounding vegetation: beech-maple forest, near oak plains.","Kettle Lake"
"Hanging Lake",972,1003,500,-138.38333,68.38333,"Small lake in broad basin. Physiography: undulating tundra surface. Surrounding vegetation: tussock tundra/wet sedge/heath/fellfield.","Lacustrine"
"Hansen Marsh",973,1004,381,-89.670815,43.439585,"Marsh, southern sedge meadow, located in ""Hanson Basin"". Physiography: borders Driftless Area. Surrounding vegetation: Quercus, Acer, Ulmus, Prunus, Juglans.","Marsh"
"Harding Lake",975,1006,NA,-146.9075,64.44444,"Small lake. Physiography: glacial valley bottom.","Lacustrine"
"Lac Harriman",976,1007,65,-65.83889,48.2375,"Rock basin lake. Physiography: low plateau with shallow till. Surrounding vegetation: abandoned fields, white birch, aspen.","Natural Lake"
"Harrie Lake",977,1008,530,-66.95,52.93333,"Fluvial origin, gently rolling terrain. Physiography: Lake Plateau. Surrounding vegetation: lichen woodland, black and white spruce.","Glacial Scour Lake"
"Site 31 (Swain unpublished)",101,101,344,-91.72,46.05,NA,"Unknown"
"Hawke Hills Kettle",979,1010,220,-53.13333,47.32222,"Peat-filled kettle with small pond. Physiography: stagnation moraine on granitic upland. Surrounding vegetation: shrub-tundra with Picea-Abies krummholz.","Fen"
"Hawley Bog Pond-1",981,1012,549,-72.88333,42.56667,NA,"Lacustrine"
"Hay Lake",982,1013,2780,-109.425,34,"Lake on basaltic bedrock. Physiography: White Mountains. Surrounding vegetation: Pinus-Pseudotsuga-Abies-Juniperus.","Natural Lake"
"Baker Lake (Cole 1969)",983,1014,12,-96.00572,64.32433,NA,"Moss Polster"
"Repulse Bay (Cole 1969) [Naujaat]",984,1015,122,-86.23529,66.52364,NA,"Moss Polster"
"Pelly Lake Airport",985,1016,211,-101.08334,66.06667,"Arctic tundra","Moss Polster"
"Cullaton Lake Airport",986,1017,243,-98.49204,61.31631,NA,"Moss Polster"
"Churchill (Cole 1969)",24272,1018,15,-94.10165,58.73903,NA,"Moss Polster"
"Egg Lake (Cole 1069)",988,1019,305,-101.39832,54.35497,NA,"Moss Polster"
"Site 32 (Swain unpublished)",102,102,326,-91.8,46.22,NA,"Unknown"
"Raven Lake (Cole 1969)",989,1020,476,-91.27361,49.28218,"Boreal forest.","Moss Polster"
"Remi Lake (Cole 1969)",990,1021,235,-82.1688,49.42222,"Boreal Forest.","Moss Polster"
"Klotz Lake (Cole 1969)",991,1022,280,-85.86885,49.79568,"Boreal forest.","Moss Polster"
"Headwaters Lake",992,1023,820,-155.05,67.93333,"Kettle lake. Physiography: mountainous. Surrounding vegetation: birch shrub tundra.","Kettle Lake"
"Headwaters Lake",992,1024,820,-155.05,67.93333,"Kettle lake. Physiography: mountainous. Surrounding vegetation: birch shrub tundra.","Kettle Lake"
"Healy Lake",993,1025,343,-144.75,64,"Small lake dammed by fluvial aggradation. Physiography: glacial valley bottom. Surrounding vegetation: Picea/Betula/Populus/Salix.","Fluvial Origin Lake"
"Hebron Lake",996,1028,170,-63.03333,58.2,"Small lake near Torngat mountains. Physiography: bedrock controlled plateaus. Surrounding vegetation: shrub tundra.","Lacustrine"
"Hedrick Pond",997,1029,2073,-110.6,43.75,"Kettle lake. Physiography: stagnation moraine, Hedrick Pond Advance. Surrounding vegetation: open forest, Pinus contorta, Pseudotsuga.","Kettle Lake"
"Site 33 (Swain unpublished)",103,103,442,-91.58,45.63,NA,"Unknown"
"Hedrick Pond",997,1030,2073,-110.6,43.75,"Kettle lake. Physiography: stagnation moraine, Hedrick Pond Advance. Surrounding vegetation: open forest, Pinus contorta, Pseudotsuga.","Kettle Lake"
"Helmetta Bog",998,1031,15,-74.43333,40.38333,NA,"Mire"
"Hemo Pond",999,1032,499,-95.47461,47.133,"Kettle lake. Physiography: rolling end moraine.","Kettle Lake"
"Tourbière de Lanoraie HENRI",1000,1033,18,-73.3,45.98889,"Ombrotrophic bog, ericaceous cover. Physiography: dissected deltaic plain. Surrounding vegetation: Caryo - Aceretum sacchari.","Bog"
"Site 1 (Lamb 1982)",1001,1034,43,-57.2,51.45,NA,"Lacustrine"
"HFL02",1002,1035,195,-56.75,51.58333,"Small lake with no inflowing stream. Surrounding vegetation: coastal tundra.","Lacustrine"
"HFL03",1003,1036,43,-57.23333,51.5,"Small lake with no inflowing stream. Surrounding vegetation: coastal tundra.","Lacustrine"
"4 [HFL4]",1004,1037,235,-56.66667,52.41667,"Small lake with no inflowing stream. Surrounding vegetation: muskeg.","Lacustrine"
"Roberts Creek AB32",6477,10375,308,-91.50028,42.98611,"Fluvial deposits in floodplain of Roberts Creek. Physiography: Driftless Area - rolling. Surrounding vegetation: Farmland.","Fluvial Origin Lake"
"Roberts Creek AB35LH",6478,10376,308,-91.50028,42.98611,"Fluvial deposits in floodplain of Roberts Creek. Physiography: Driftless Area - rolling. Surrounding vegetation: Farmland.","Fluvial Origin Lake"
"Roberts Creek AB30",6479,10377,308,-91.50028,42.98611,"Fluvial deposits in floodplain of Roberts Creek. Physiography: Driftless Area - rolling. Surrounding vegetation: Farmland.","Fluvial Origin Lake"
"Roberts Creek CCLH-2",6480,10378,308,-91.50028,42.98611,"Fluvial deposits in floodplain of Roberts Creek. Physiography: Driftless Area - rolling. Surrounding vegetation: Farmland.","Fluvial Origin Lake"
"Roberts Creek DPS-8",6481,10379,308,-91.50028,42.98611,"Fluvial deposits in floodplain of Roberts Creek. Physiography: Driftless Area - rolling. Surrounding vegetation: Farmland.","Fluvial Origin Lake"
"5 [HFL5]",1005,1038,295,-56.53333,52.45,"Small lake with no inflowing stream. Surrounding vegetation: Spruce-fir forest.","Lacustrine"
"Roberts Creek AB21",6482,10380,308,-91.50028,42.98611,"Fluvial deposits in floodplain of Roberts Creek. Physiography: Driftless Area - rolling. Surrounding vegetation: Farmland.","Fluvial Origin Lake"
"Roberts Creek DPS-2LH",6484,10381,308,-91.50028,42.98611,"Fluvial deposits in floodplain of Roberts Creek. Physiography: Driftless Area - rolling. Surrounding vegetation: Farmland.","Fluvial Origin Lake"
