"datasetid","siteid","sitename","chroncontrolid","type","age","depth","ageboundolder","ageboundyounger","limityounger","limitolder","name","notes","hasradiocarbon","altitude","longitude","latitude","error"
1000,969,"Hafichuk Site",2812,"Radiocarbon",10270,285,11700,10200,9970,10570,"NAPD 1 (radiocarbon years)","Chron based on 3 radiocarbon dates.",TRUE,740,-105.88389,50.32056,300
1000,969,"Hafichuk Site",2813,"Radiocarbon",10630,390,11700,10200,10330,10930,"NAPD 1 (radiocarbon years)","Chron based on 3 radiocarbon dates.",TRUE,740,-105.88389,50.32056,300
1000,969,"Hafichuk Site",2814,"Radiocarbon",11650,495,11700,10200,11350,11950,"NAPD 1 (radiocarbon years)","Chron based on 3 radiocarbon dates.",TRUE,740,-105.88389,50.32056,300
1001,970,"Hail Lake",2819,"Radiocarbon",2870,128,9950,60,2820,2920,"PALE 1","Chron excludes three oldest ages and the reversed level at 457 cm",TRUE,690,-129.01667,60.03333,50
1001,970,"Hail Lake",2820,"Radiocarbon",4840,204,9950,60,4830,4930,"PALE 1","Chron excludes three oldest ages and the reversed level at 457 cm",TRUE,690,-129.01667,60.03333,50
1001,970,"Hail Lake",2821,"Radiocarbon",5860,236,9950,60,5450,6270,"PALE 1","Chron excludes three oldest ages and the reversed level at 457 cm",TRUE,690,-129.01667,60.03333,410
1001,970,"Hail Lake",2822,"Radiocarbon",8440,358,9950,60,8370,8510,"PALE 1","Chron excludes three oldest ages and the reversed level at 457 cm",TRUE,690,-129.01667,60.03333,70
1001,970,"Hail Lake",2823,"Radiocarbon",8820,398,9950,60,8750,8890,"PALE 1","Chron excludes three oldest ages and the reversed level at 457 cm",TRUE,690,-129.01667,60.03333,70
1001,970,"Hail Lake",2824,"Radiocarbon",8930,423,9950,60,8860,9000,"PALE 1","Chron excludes three oldest ages and the reversed level at 457 cm",TRUE,690,-129.01667,60.03333,70
1001,970,"Hail Lake",2825,"Radiocarbon",9500,482,9950,60,9420,9580,"PALE 1","Chron excludes three oldest ages and the reversed level at 457 cm",TRUE,690,-129.01667,60.03333,80
1002,971,"Hams Lake",2826,"Radiocarbon",430,879,NA,NA,270,590,"Bennett 1987","This chron used by Bennett (1987) in his publication of the site. Equation: Y = -16740.5 + 19.3743X. This chron is unrealistic for the surface core samples.",TRUE,301,-80.41333,43.23667,160
1002,971,"Hams Lake",2827,"Radiocarbon",1480,938,NA,NA,1320,1640,"Bennett 1987","This chron used by Bennett (1987) in his publication of the site. Equation: Y = -16740.5 + 19.3743X. This chron is unrealistic for the surface core samples.",TRUE,301,-80.41333,43.23667,160
1002,971,"Hams Lake",2828,"Radiocarbon",2670,994,NA,NA,2510,2830,"Bennett 1987","This chron used by Bennett (1987) in his publication of the site. Equation: Y = -16740.5 + 19.3743X. This chron is unrealistic for the surface core samples.",TRUE,301,-80.41333,43.23667,160
1002,971,"Hams Lake",2829,"Radiocarbon",3350,1053,NA,NA,3190,3510,"Bennett 1987","This chron used by Bennett (1987) in his publication of the site. Equation: Y = -16740.5 + 19.3743X. This chron is unrealistic for the surface core samples.",TRUE,301,-80.41333,43.23667,160
1002,971,"Hams Lake",2830,"Radiocarbon",4270,1112,NA,NA,4110,4430,"Bennett 1987","This chron used by Bennett (1987) in his publication of the site. Equation: Y = -16740.5 + 19.3743X. This chron is unrealistic for the surface core samples.",TRUE,301,-80.41333,43.23667,160
1002,971,"Hams Lake",2831,"Radiocarbon",5970,1171,NA,NA,5710,6230,"Bennett 1987","This chron used by Bennett (1987) in his publication of the site. Equation: Y = -16740.5 + 19.3743X. This chron is unrealistic for the surface core samples.",TRUE,301,-80.41333,43.23667,260
1002,971,"Hams Lake",2832,"Radiocarbon",7500,1230,NA,NA,7260,7740,"Bennett 1987","This chron used by Bennett (1987) in his publication of the site. Equation: Y = -16740.5 + 19.3743X. This chron is unrealistic for the surface core samples.",TRUE,301,-80.41333,43.23667,240
1002,971,"Hams Lake",2833,"Radiocarbon",8610,1289,NA,NA,8330,8890,"Bennett 1987","This chron used by Bennett (1987) in his publication of the site. Equation: Y = -16740.5 + 19.3743X. This chron is unrealistic for the surface core samples.",TRUE,301,-80.41333,43.23667,280
1002,971,"Hams Lake",2834,"Radiocarbon",9130,1348,NA,NA,8870,9390,"Bennett 1987","This chron used by Bennett (1987) in his publication of the site. Equation: Y = -16740.5 + 19.3743X. This chron is unrealistic for the surface core samples.",TRUE,301,-80.41333,43.23667,260
1002,971,"Hams Lake",2835,"Radiocarbon",10400,1404,NA,NA,10100,10700,"Bennett 1987","This chron used by Bennett (1987) in his publication of the site. Equation: Y = -16740.5 + 19.3743X. This chron is unrealistic for the surface core samples.",TRUE,301,-80.41333,43.23667,300
1003,972,"Hanging Lake",2870,"Radiocarbon",1870,15.5,33090,0,1510,2330,"NAPD 1","Chron uses top and 21 corrected C14 dates. Equation of the line is Y = 150.007x - 0.835912x2 + 0.00180582x3.",TRUE,500,-138.38333,68.38333,410
1003,972,"Hanging Lake",2871,"Radiocarbon",2930,25.5,33090,0,2670,3190,"NAPD 1","Chron uses top and 21 corrected C14 dates. Equation of the line is Y = 150.007x - 0.835912x2 + 0.00180582x3.",TRUE,500,-138.38333,68.38333,260
1003,972,"Hanging Lake",2872,"Radiocarbon",5100,30.5,33090,0,4740,5460,"NAPD 1","Chron uses top and 21 corrected C14 dates. Equation of the line is Y = 150.007x - 0.835912x2 + 0.00180582x3.",TRUE,500,-138.38333,68.38333,360
1003,972,"Hanging Lake",2873,"Radiocarbon",4360,55.5,33090,0,4060,4660,"NAPD 1","Chron uses top and 21 corrected C14 dates. Equation of the line is Y = 150.007x - 0.835912x2 + 0.00180582x3.",TRUE,500,-138.38333,68.38333,300
1003,972,"Hanging Lake",2874,"Radiocarbon",5640,80.5,33090,0,5360,5920,"NAPD 1","Chron uses top and 21 corrected C14 dates. Equation of the line is Y = 150.007x - 0.835912x2 + 0.00180582x3.",TRUE,500,-138.38333,68.38333,280
1003,972,"Hanging Lake",2875,"Radiocarbon",7870,105.5,33090,0,7310,8430,"NAPD 1","Chron uses top and 21 corrected C14 dates. Equation of the line is Y = 150.007x - 0.835912x2 + 0.00180582x3.",TRUE,500,-138.38333,68.38333,560
1003,972,"Hanging Lake",2876,"Radiocarbon",10200,118,33090,0,9820,10580,"NAPD 1","Chron uses top and 21 corrected C14 dates. Equation of the line is Y = 150.007x - 0.835912x2 + 0.00180582x3.",TRUE,500,-138.38333,68.38333,380
1003,972,"Hanging Lake",2877,"Radiocarbon",11500,130.5,33090,0,11000,12000,"NAPD 1","Chron uses top and 21 corrected C14 dates. Equation of the line is Y = 150.007x - 0.835912x2 + 0.00180582x3.",TRUE,500,-138.38333,68.38333,500
1003,972,"Hanging Lake",2878,"Radiocarbon",9220,143,33090,0,8940,9500,"NAPD 1","Chron uses top and 21 corrected C14 dates. Equation of the line is Y = 150.007x - 0.835912x2 + 0.00180582x3.",TRUE,500,-138.38333,68.38333,280
1003,972,"Hanging Lake",2879,"Radiocarbon",10500,155.5,33090,0,10100,10900,"NAPD 1","Chron uses top and 21 corrected C14 dates. Equation of the line is Y = 150.007x - 0.835912x2 + 0.00180582x3.",TRUE,500,-138.38333,68.38333,400
1003,972,"Hanging Lake",2880,"Radiocarbon",10900,180.5,33090,0,10060,11320,"NAPD 1","Chron uses top and 21 corrected C14 dates. Equation of the line is Y = 150.007x - 0.835912x2 + 0.00180582x3.",TRUE,500,-138.38333,68.38333,630
1003,972,"Hanging Lake",2881,"Radiocarbon",11700,205.5,33090,0,11400,12000,"NAPD 1","Chron uses top and 21 corrected C14 dates. Equation of the line is Y = 150.007x - 0.835912x2 + 0.00180582x3.",TRUE,500,-138.38333,68.38333,300
1003,972,"Hanging Lake",2882,"Radiocarbon",12600,230.5,33090,0,12060,13140,"NAPD 1","Chron uses top and 21 corrected C14 dates. Equation of the line is Y = 150.007x - 0.835912x2 + 0.00180582x3.",TRUE,500,-138.38333,68.38333,540
1003,972,"Hanging Lake",2883,"Radiocarbon",12400,255.5,33090,0,11980,12820,"NAPD 1","Chron uses top and 21 corrected C14 dates. Equation of the line is Y = 150.007x - 0.835912x2 + 0.00180582x3.",TRUE,500,-138.38333,68.38333,420
1003,972,"Hanging Lake",2884,"Radiocarbon",12800,265.5,33090,0,12160,13440,"NAPD 1","Chron uses top and 21 corrected C14 dates. Equation of the line is Y = 150.007x - 0.835912x2 + 0.00180582x3.",TRUE,500,-138.38333,68.38333,640
1003,972,"Hanging Lake",2885,"Radiocarbon",15800,275.5,33090,0,14900,16700,"NAPD 1","Chron uses top and 21 corrected C14 dates. Equation of the line is Y = 150.007x - 0.835912x2 + 0.00180582x3.",TRUE,500,-138.38333,68.38333,900
