"siteID","sitename","lon","lat","datasetid","handle","bestacc","acc.shape.old","hiatus","acc.mean.mod","acc.shape.mod","bestthick","mem.mean","mem.strength","reliableold","reliableyoung","notes_selection","description",
8,"Abalone Rocks Marsh",-119.976667,33.956389,8,"ABALONE",20,0.9,0,3.02,0.53,20,0.5,2,4700,-40,"FALSE","Small estuarine marsh. Physiography: Santa Rosa Island. Surrounding vegetation: coastal marsh and grassland.",
24,"Alexander Lake",-60.583333,53.333333,24,"ALEXLAKE",20,0.9,0,3.02,0.53,20,0.5,2,6206,5676,"FALSE","Physiography: rolling glacial till, eskers, kettles,.",
30,"Almora Lake",-95.293611,46.206111,30,"ALMORA1",20,0.9,0,3.02,0.53,20,0.5,2,9830,8902,"FALSE","Lake with emergent reed vegetation. Physiography: Parkers Prairie sandplain. Surrounding vegetation: agriculture.",
205,"Andrus Lake",-85.040278,46.7,205,"ANDRUSC2",20,0.9,0,3.02,0.53,5,0.5,2,72,-32,"FALSE","Seepage lake. Physiography: flat sandy glacial lake bottom. Surrounding vegetation: Pinus/Betula/Quercus/Acer.",
235,"Lac Bastien",-78.916667,46.4,238,"BASTIEN",50,0.9,0,3.02,0.53,20,0.5,2,2693,-34,"FALSE","Glacial scour lake. Physiography: Canadian Shield. Surrounding vegetation: fir-maple-spruce-birch forest.",
236,"Battle Ground Lake",-122.491667,45.8,239,"BATLGRND",10,0.9,0,3.02,0.53,20,0.5,2,9189,-29,"FALSE","Volcanic crater. Physiography: Puget Trough. Surrounding vegetation: second-growth Pseudotsuga/decid forest.",
244,"Bechan Cave",-110.8666667,37.36666667,247,"BECHAN1",100,0.9,0,3.02,0.53,10,0.5,2,20818,16541,"FALSE","Large sandstone cave. Physiography: canyon lands. Surrounding vegetation: open juniper woodland.",
246,"Beef Pasture",-108.160375,37.473105,250,"BEEFPAST",50,0.9,0,3.02,0.53,10,0.5,2,4641,-21,"FALSE","Open wet meadow and fen occupying a depression formed by a landslide ~5000 BP in the La Plata Mountains. Local upland vegetation dominated by Picea engelmannii, Pseudotsuga menziesii, Populus tremuloides, and Alnus tenuifolia. Salix brachycarpa lines the edges of the wet meadow.",
254,"Berry Pond",-73.316667,42.5,260,"BERRYPND",50,0.9,0,3.02,0.53,10,0.5,2,6688,103,"FALSE","NA",
257,"Lake BI2",-76.378333,57.116667,3471,"LAKEBI2",50,0.9,0,3.02,0.53,15,0.5,2,4963,4322,"FALSE","Lake.",
265,"Biggsville [Cessford Quarry]",-90.88,40.855556,271,"BIGGSVIL",50,0.9,0,3.02,0.53,15,0.5,2,28377,27472,"FALSE","Quarry. Physiography: undulating loess-mantled plain. Surrounding vegetation: agricultural.

Section excavated from the south overburden face of the Biggsville Quarry. 

Pollen studied by Baker (Neotoma Database). Correlate insect and pollen samples using C-14 ages.",
266,"Big John Pond",-94.970775,47.559175,272,"BIGJOHN",50,0.9,0,3.02,0.53,10,0.5,2,636,-30,"FALSE","Lake in pitted outwash plain. Physiography: Bemidji Sand Plain (glacial outwash). Surrounding vegetation: Pinus banksiana forest.",
272,"Black Pond",-84.186667,35.620833,278,"BLACKPND",50,0.9,0,3.02,0.53,20,0.5,2,1108,18,"FALSE","Spring-fed sinkhole pond. Physiography: ridge and valley province. Surrounding vegetation: oak-hickory forest.",
273,"Blacktail Pond",-110.60071,44.95611,20308,"BLACKTA",50,0.9,0,3.02,0.53,10,0.5,2,10842,9734,"FALSE","Blacktail Pond is situated in a remnant late-Pleistocene meltwater channel; surrounding vegetation is Pseudotsuga menziesii (Douglas-fir) parkland, which includes grassland and steppe communities dominated by Artemisia tridentata (big sagebrush), Festuca idahoensis (Idaho fescue), and Ericameria nauseosa (rabbitbrush).",
297,"Border Beacon",-63.2,55.333333,303,"BORDER",20,0.9,0,3.02,0.53,15,0.5,2,4094,2689,"FALSE","Kettle lake. Physiography: glacial outwash plain. Surrounding vegetation: tundra with scattered white spruce.",
299,"Bossuot Lake",-93.73571,44.296475,305,"BOSSUOT",5,0.9,0,3.02,0.53,20,0.5,2,124,-10,"FALSE","Kettle lake. Physiography: rolling stagnation moraine.",
307,"Brown's Bay, Lake Minnetonka",-93.545105,44.95769,314,"BROWNSBY",5,0.9,0,3.02,0.53,5,0.5,2,169,-26,"FALSE","Mesotrophic bay in Lake Minnetonka. Physiography: rolling stagnation moraine. Surrounding vegetation: residential/Acer/Quercus/Tilia.",
314,"Bucyrus Bog",-82.933333,40.797222,321,"BUCYRUS",50,0.9,0,3.02,0.53,20,0.5,2,12887,12457,"FALSE","Small cresent shaped wet area. Physiography: Till Plains. Surrounding vegetation: Salix/Populus/Crataegus.",
317,"Burden Lake",-73.566667,42.604167,324,"BURDEN",10,0.9,0,3.02,0.53,15,0.5,2,9263,1873,"FALSE","Lake with two basins. Physiography: Hudson valley/Glac. Allegheny Plateau. Surrounding vegetation: Quercus/Carya/Acer.",
321,"Cahaba Pond",-86.533333,33.5,328,"CAHABA",5,0.9,0,3.02,0.53,20,0.5,2,12731,8733,"FALSE","NA",
325,"Camp 11 Lake",-88.016667,46.666667,332,"CAMP11LK",50,0.9,0,3.02,0.53,15,0.5,2,6135,44,"FALSE","NA",
326,"Camp 12 Lake",-89.375,45.986111,333,"CAMP12LK",10,0.9,0,3.02,0.53,5,0.5,2,46,-34,"FALSE","Seepage lake. Physiography: gently rolling sandy terrain. Surrounding vegetation: Acer/Quercus/Betula/Pinus/Populus.",
329,"Candelabra Lake",-130.65,61.683333,336,"CANDELAB",50,0.9,0,3.02,0.53,15,0.5,2,2140,1,"FALSE","Small lake. Surrounding vegetation: Picea mariana, muskeg.",
330,"Tourbi�re Caribou",-71.235833,47.639722,337,"CAR",20,0.9,0,3.02,0.53,20,0.5,2,1129,785,"FALSE","Kettle lake with 90% quaking mat. Physiography: fluvioglacial undulating valley bottom. Surrounding vegetation: Piceeto marianae - Abietetum.",
331,"Carbuncle Pond",-71.783333,41.7,338,"CARBUNCL",10,0.9,0,3.02,0.53,10,0.5,2,157,-6,"FALSE","NA",
333,"Caribou Bog",-68.77344,44.93672,340,"CARIBBOG",10,0.9,0,3.02,0.53,20,0.5,2,8657,70,"FALSE","Raised bog. Physiography: coastal lowlands. Surrounding vegetation: Sphagnum, Ericaeae, Picea.",
334,"Caribou Hill",-63.25,55.666667,341,"CARIBOU",50,0.9,0,3.02,0.53,20,0.5,2,2777,1084,"FALSE","Small bay in larger lake. Physiography: Kogaluk plateau. Surrounding vegetation: tundra/Picea.",
337,"Carter Site",-84.680556,40.216667,345,"CARTER",10,0.9,0,3.02,0.53,20,0.5,2,16248,14879,"FALSE","Circular kettle lake. Physiography: till plain"," Union city and Bloomer moraine. Surrounding vegetation: agriculturally disturbed."
338,"Lac Castor",-72.998611,46.613889,346,"CAS",50,0.9,0,3.02,0.53,20,0.5,2,4764,43,"FALSE","Rock basin lake. Physiography: hilly moraine. Surrounding vegetation: Tilio - Aceretum sacchari.",
339,"Cascade Fen [Engineer Mountain Bog]",-107.808675,37.647645,347,"CASCADE2",50,0.9,0,3.02,0.53,15,0.5,2,1384,-6,"FALSE","Fen west of Highway 550 in the San Juan Mountains. Montane zone, parkland with Populus tremuloides and mixed conifers nearby.",
340,"Lago Catemaco",-95,18.666667,348,"CATEMACO",5,0.9,0,3.02,0.53,20,0.5,2,3407,-32,"FALSE","Volcanic lake. Physiography: Sierra de los Tuxtlas. Surrounding vegetation: agricultural, remnant forest.",
353,"Chase Pond",-60.675,45.651389,361,"CHASE",50,0.9,0,3.02,0.53,10,0.5,2,13356,12695,"FALSE","Small pond surrounded by steep banks. Physiography: broad rolling lowland, Appalachian Prov.. Surrounding vegetation: Sphagnum, Picea mariana, P. glauca,Larix.",
478,"Clear Lake",-93.42973,43.12507,489,"CLEARLIA",50,0.9,0,3.02,0.53,20,0.5,2,8441,-29,"FALSE","Surrounding vegetation: farmland.",
489,"Compass Pond",-56.196389,50.034167,501,"COMPASS",50,0.9,0,3.02,0.53,15,0.5,2,3041,-23,"FALSE","Rock basin lake. Physiography: bedrock hills with till veneer. Surrounding vegetation: Picea mariana, Abies balsamea, Betula.",
491,"Conroy Lake",-67.883333,46.283333,14768,"CONROYLD",50,0.9,0,3.02,0.53,20,0.5,2,12639,12071,"FALSE","Conroy Lake is a kettle lake located within a beaded esker complex. Surrounding vegetation: Pinus strobus, Picea spp, Betula, Alnus.",
495,"Coppermine Saddleback",-115.316667,67.833333,507,"COPPER",20,0.9,0,3.02,0.53,10,0.5,2,667,69,"FALSE","NA",
509,"Creditview Wetland",-79.6,43.6,522,"CREDIT",50,0.9,0,3.02,0.53,5,0.5,2,12833,12776,"FALSE","NA",
512,"Crowfoot Lake",-116.416667,51.65,525,"CROWFOOT",50,0.9,0,3.02,0.53,5,0.5,2,1880,132,"FALSE","Lake in glacial valley. Physiography: Mountains, outside Crowfoot Moraine. Surrounding vegetation: Picea engelmanii, Abies lasiocarpa.",
524,"Cummins Pond",-89.346667,48.4075,538,"CUMMINSA",20,0.9,0,3.02,0.53,15,0.5,2,8299,6876,"FALSE","Pond. Physiography: Lake Superior Basin.",
533,"Daumont",-69.4,54.883333,549,"DAU",20,0.9,0,3.02,0.53,20,0.5,2,802,127,"FALSE","Rock basin lake. Physiography: rolling stagnation moraine. Surrounding vegetation: Cladino - Piceetum marianae.",
558,"Mohawk Pond",-73.292685,41.81115,3493,"MOHAWK",20,0.9,0,3.02,0.53,20,0.5,2,11223,236,"FALSE","Kettle lake in the southern Berkshires.",
562,"Tom Swamp",-72.2125,42.516667,3789,"TOM16A",10,0.9,0,3.02,0.53,20,0.5,2,11558,9135,"FALSE","Larix-Picea mariana-Sphagnum bog.. Physiography: rolling topog.- valley between ridges. Surrounding vegetation: oak with mixed hardwd/hemlock/white pine.",
657,"Deer Lake Bog",-71.833333,44.033333,673,"DEER",50,0.9,0,3.02,0.53,15,0.5,2,2987,4,"FALSE","Physiography: on Mount Moosilauke.",
658,"Delorme 1",-69.918889,54.418889,675,"DEL1",50,0.9,0,3.02,0.53,15,0.5,2,958,75,"FALSE","Rock basin lake. Physiography: Rolling morainic landscape, shallow till. Surrounding vegetation: Cladino - Piceetum marianae.",
659,"Delorme 2",-69.929722,54.423611,677,"DEL2",20,0.9,0,3.02,0.53,15,0.5,2,1388,39,"FALSE","Rock basin lake. Physiography: hilly moraine. Surrounding vegetation: Cladino - Piceetum marianae.",
663,"Denton Lake",-89.316667,45.85,681,"DENTONLK",5,0.9,0,3.02,0.53,5,0.5,2,59,-33,"FALSE","Seepage lake.",
673,"Dinkey Meadow",-119.083333,37,693,"DINKEY",50,0.9,0,3.02,0.53,15,0.5,2,2451,-35,"FALSE","Small clearing along Dinkey Creek. Physiography: Sierra Nevada Mountain Range. Surrounding vegetation: Lodgepole Pine, White Fir, Sugar Pine.",
701,"Donut Pond Bog",-70.058333,41.275,721,"DONUT",5,0.9,0,3.02,0.53,15,0.5,2,519,-27,"FALSE","Kettlehole bog. Physiography: moraine. Surrounding vegetation: Nantucket Island coastal heathland.",
728,"Heart Lake",-73.96963,44.18236,3130,"HEARTNY",50,0.9,0,3.02,0.53,20,0.5,2,4621,21,"FALSE","NA",
755,"Dunnigan Lake",-91.641667,47.708333,774,"DUNNIGAN",5,0.9,0,3.02,0.53,5,0.5,2,69,-33,"FALSE","Shallow seepage lake. Surrounding vegetation: pine/aspen/spruce.",
767,"Eggert Lake",-93.619035,44.47012,786,"EGGERT",5,0.9,0,3.02,0.53,5,0.5,2,88,-10,"FALSE","Kettle lake. Physiography: rolling ground moraine.",
771,"Eldora Fen",-105.58,39.936667,790,"ELDORA",20,0.9,0,3.02,0.53,15,0.5,2,1231,-1,"FALSE","Drained fen. Physiography: Ute Mountains.",
782,"Ennadai Lake, 1972 Site",-100.951389,61.244444,802,"ENNADA72",10,0.9,0,3.02,0.53,20,0.5,2,4865,3094,"FALSE","NA",
783,"Ennadai Lake",-100.916667,61.166667,803,"ENNADAI",20,0.9,0,3.02,0.53,5,0.5,2,2056,1229,"FALSE","Peat bank. Physiography: Cockburn end moraine complex. Surrounding vegetation: Picea/Larix/Alnus/Salix.",
796,"Fallback Lake",-110.433333,43.966667,818,"FALLBACK",20,0.9,0,3.02,0.53,15,0.5,2,13829,13505,"FALSE","Glacial scour lake. Physiography: Pinyon Peak Highlands. Surrounding vegetation: Picea-Abies-Pinus albicaulis forest.",
797,"Lac Faribault",-71.716944,58.866944,820,"FAR",100,0.9,0,3.02,0.53,20,0.5,2,4573,1,"FALSE","Rock basin lake. Physiography: Morainic plateau. Surrounding vegetation: Shrub tundra / Forest tundra.",
804,"Ferndale Bog",-95.808333,34.405556,828,"FERNDAL1",50,0.9,0,3.02,0.53,10,0.5,2,699,302,"FALSE","Peat bog on Jackfork sandstone ridge. Physiography: Ouachita Mountains. Surrounding vegetation: elm/oak/hickory/pine/willow.",
804,"Ferndale Bog",-95.808333,34.405556,3126,"FERNDALE",50,0.9,0,3.02,0.53,15,0.5,2,1793,32,"FALSE","Peat bog on Jackfork sandstone ridge. Physiography: Ouachita Mountains. Surrounding vegetation: elm/oak/hickory/pine/willow.",
811,"Floating Island Lake",-107.466667,44.55,3127,"FLOATIL2",10,0.9,0,3.02,0.53,20,0.5,2,9655,8969,"FALSE","Kettle lake with floating sedge mat. Physiography: Bighorn Mountains. Surrounding vegetation: lodgepole pine forest.",
820,"Fox Pond",-95.558333,47.165,846,"FOXPOND",10,0.9,0,3.02,0.53,20,0.5,2,102,-11,"FALSE","Kettle lake. Physiography: Itasca Moraine, rolling.",
824,"French Lake",-94.42074,44.945765,850,"FRENCH",10,0.9,0,3.02,0.53,20,0.5,2,3092,12,"FALSE","NA",
827,"Frying Pan Lake",-111.666667,38.616667,853,"FRYINGPN",100,0.9,0,3.02,0.53,15,0.5,2,8852,1,"FALSE","Shallow lake behind Pleistocene moraine. Physiography: horst and graben plateau. Surrounding vegetation: Pinus/Pseudotsuga/Cercocarpus/Populus.",
841,"George Lake",-93.87066,44.2329,869,"GEORGE",10,0.9,0,3.02,0.53,5,0.5,2,89,-10,"FALSE","Kettle lake on stagnation moraine. Original vegetation was the ""Big Woods."" dominated by Ulmus, Quercus, Acer saccharum, and Tilia americana.",
844,"Giles Lake",-75.093333,41.376111,873,"GILES",50,0.9,0,3.02,0.53,10,0.5,2,213,-34,"FALSE","Lake. Physiography: glaciated mountains. Surrounding vegetation: mixed deciduous/coniferous forest.",
941,"Gould Pond",-69.316667,44.983333,971,"GOULD",5,0.9,0,3.02,0.53,20,0.5,2,12842,-27,"FALSE","Bedrock controlled kettle. Physiography: strongly rolling, bedrock controlled. Surrounding vegetation: white pine-northern hardwoods/spruce-fir.",
943,"Graham Lake",-77.35,45.183333,973,"GRAHAM",50,0.9,0,3.02,0.53,10,0.5,2,2272,1,"FALSE","Closed bedrock basin lake. Physiography: rough relief on Algonquin Highlands. Surrounding vegetation: Acer/Pinus/Fagus/Quercus/Tilia/Betula.",
946,"Lac Gras",-67.066667,52.25,976,"GRAS",50,0.9,0,3.02,0.53,15,0.5,2,1669,-30,"FALSE","Minimal relief, sandy terraces, eskers. Physiography: Lake Plateau, stream-fed. Surrounding vegetation: black spruce, lichen woodlands.",
